paper_id,title,author,year,journal,epistemic_primary,epistemic_secondary,empirical_evidence,quant_methods,qual_methods,has_case,case_medium,case_function,normative_level,closure_type,move_count,reflexive_move,move_sequence_summary
cheney-lippold-2011-a-new-algorithmic-identity,A New Algorithmic Identity: Soft Biopolitics and the Modulation of Control,Cheney-Lippold,2011,"Theory, Culture & Society",normative_with_interpretive_case,,False,,,True,political_event,illustration,medium,open_ended_with_burden_on_reader,7,False,puzzle_diagnosis → case_introduction → framework_proposal → conceptual_distinction → case_interpretation → normative_derivation → conclusion_open
d-cruz-2025-what-demarcates-necropolitics-from-biopolitics-a-foucauldian-critique-of-mbembe,What Demarcates Necropolitics from Biopolitics? A Foucauldian Critique of Mbembe,D'Cruz,2025,"Theory, Culture & Society",fully_normative,,False,,,False,none,none,medium,strong_normative_conclusion,6,False,puzzle_diagnosis → rival_mapping → immanent_critique → counter_objection_response → framework_proposal → conclusion_strong
davies-2014-neoliberalism-a-bibliographic-review,Neoliberalism: A Bibliographic Review,Davies,2014,"Theory, Culture & Society",fully_normative,,False,,,False,none,none,low,research_agenda,5,False,puzzle_diagnosis → rival_mapping → conceptual_distinction → genealogical_reconstruction → conclusion_open
davies-2025-another-age-of-anxiety-psychological-distress-and-the-asset-economy,Another Age of Anxiety: Psychological Distress and the 'Asset Economy',Davies,2025,"Theory, Culture & Society",normative_with_quantitative_empirical,,True,"Statistical data on rising rates of anxiety disorder diagnoses (WHO, UK/US epidemiological data, Goodwin et al., Slee et al.) used to motivate the sociological analysis.",,False,none,none,medium,open_ended_with_burden_on_reader,7,False,empirical_presentation → puzzle_diagnosis → rival_mapping → genealogical_reconstruction → framework_proposal → normative_derivation → conclusion_open
davies-gane-2021-post-neoliberalism-an-introduction,Post-Neoliberalism? An Introduction,Davies and Gane,2021,"Theory, Culture & Society",fully_normative,,False,,,False,none,none,medium,research_agenda,5,False,puzzle_diagnosis → rival_mapping → conceptual_distinction → case_introduction → conclusion_open
davison-vecchione-seeger-2021-ursula-le-guin-s-speculative-anthropology-thick-description-historicity-and-science,"Ursula Le Guin's Speculative Anthropology: Thick Description, Historicity and Science Fiction",Davison-Vecchione and Seeger,2021,"Theory, Culture & Society",normative_with_interpretive_case,,False,,,True,literary_text,primary_object_of_analysis,medium,strong_normative_conclusion,8,False,puzzle_diagnosis → rival_mapping → case_introduction → immanent_critique → framework_proposal → case_development → case_interpretation → conclusion_strong
featherstone-turner-2023-mary-douglas-on-purity-and-danger-an-interview,Mary Douglas on Purity and Danger: An Interview,Featherstone and Turner,2022,"Theory, Culture & Society",purely_interpretive_hermeneutic,,True,,"Interview transcript — a primary archival document (1987 interview, published for first time in 2022); framed by biographical and intellectual-historical contextualization.",True,philosophical_text,primary_object_of_analysis,low,none,4,True,puzzle_diagnosis → case_introduction → genealogical_reconstruction → case_development
finlayson-2021-neoliberalism-the-alt-right-and-the-intellectual-dark-web,"Neoliberalism, the Alt-right and the Intellectual Dark Web",Finlayson,2021,"Theory, Culture & Society",normative_with_interpretive_case,,True,,"Textual and discursive analysis of websites, YouTube channels, manifestos, and publications of alt-right, alt-lite, IDW, and paleoconservative actors (American Renaissance, VDare, Radix Journal, Stefan Molyneux, Jordan Peterson, Paul Joseph Watson, etc.); intellectual-historical genealogy tracing concepts (new class, cultural Marxism, race-realism) from paleoconservatism and neoconservatism to contemporary online spaces.",True,political_event,primary_object_of_analysis,medium,open_ended_with_burden_on_reader,7,False,puzzle_diagnosis → rival_mapping → framework_proposal → genealogical_reconstruction → case_development → case_interpretation → conclusion_open
folkers-2025-future-theft-fossil-capitalization-ecological-dispossession-and-climate-reparations,"Future Theft: Fossil Capitalization, Ecological Dispossession and Climate Reparations",Folkers,2025,"Theory, Culture & Society",normative_with_interpretive_case,,True,,"Legal case analysis: detailed examination of the Lliuya v. RWE climate tort (Peruvian farmer suing German energy company for glacier-melt damages) as the pivotal case; complemented by analysis of carbon accounting practices, investment treaty structures, and discounted cash flow calculative devices.",True,institutional_process,test_case_for_framework,high,open_ended_with_burden_on_reader,10,False,puzzle_diagnosis → framework_proposal → conceptual_distinction → rival_mapping → immanent_critique → case_introduction → case_development → case_interpretation → normative_derivation → conclusion_open
gane-2021-nudge-economics-as-libertarian-paternalism,Nudge Economics as Libertarian Paternalism,Gane,2021,"Theory, Culture & Society",fully_normative,,False,,,False,none,none,medium,strong_normative_conclusion,7,False,puzzle_diagnosis → rival_mapping → case_development → immanent_critique → genealogical_reconstruction → normative_derivation → conclusion_strong
geels-2014-regime-resistance-against-low-carbon-transitions-introducing-politics-and-power-into-the-multi-level,Regime Resistance against Low-Carbon Transitions: Introducing Politics and Power into the Multi-Level Perspective,Geels,2014,"Theory, Culture & Society",normative_with_qualitative_empirical,,True,"Time-series data on UK electricity fuel mix (coal, gas, nuclear, renewables) and CO2 emissions 1990–2012 from DECC; IEA global emissions data.","Case-based illustration of resistance strategies drawn from UK energy politics: Blair nuclear revival (2005–7), EDF contract negotiations, Clean Coal discourse, CCS innovation promises. Analytical framework developed conceptually; cases illustrate the typology.",True,institutional_process,illustrative,medium,research_agenda,8,False,empirical_presentation → puzzle_diagnosis → rival_mapping → framework_proposal → conceptual_distinction → case_introduction → case_development → conclusion_open
gill-pratt-2008-in-the-social-factory,"In the Social Factory? Immaterial Labour, Precariousness and Cultural Work",Gill and Pratt,2008,"Theory, Culture & Society",normative_with_qualitative_empirical,,True,,"Literature review and synthesis of empirical studies of cultural workers (designers, artists, new media workers, film workers) alongside theoretical reading of autonomist Marxism and precarity movement texts; secondary analysis of qualitative research on cultural work conditions.",True,social_practice,test_case_for_framework,medium,research_agenda,8,True,puzzle_diagnosis → rival_mapping → framework_proposal → case_introduction → immanent_critique → case_development → meta_reflexive_qualification → conclusion_open
gregory-2012-from-a-view-to-a-kill,From a View to a Kill: Drones and Late Modern War,Gregory,2012,"Theory, Culture & Society",normative_with_qualitative_empirical,,True,,"Analysis of military documents, pilot testimonies, combat footage descriptions, and technology specifications (Predator/Reaper sensor systems, Gorgon Stare, ARGUS-IS); historical comparison with British aerial counterinsurgency in Afghanistan/Iraq (1920s); analysis of CIA drone strike data in Pakistan and USAF operations in Afghanistan.",True,institutional_process,primary_object_of_analysis,high,open_ended_with_burden_on_reader,9,False,puzzle_diagnosis → rival_mapping → framework_proposal → genealogical_reconstruction → case_introduction → case_development → case_interpretation → counter_objection_response → conclusion_open
habermas-2022-reflections-and-hypotheses-on-a-further-structural-transformation-of-the-political-public-sphere,Reflections and Hypotheses on a Further Structural Transformation of the Political Public Sphere,Habermas,2022,"Theory, Culture & Society",normative_with_quantitative_empirical,,True,Longitudinal survey data from German media usage studies showing the decline of print newspaper consumption and the rise of digital media over two decades; data on correlation between social status and voter turnout.,,False,none,none,high,open_ended_with_burden_on_reader,6,True,puzzle_diagnosis → framework_proposal → conceptual_distinction → empirical_presentation → normative_derivation → conclusion_open
haworth-2023-post-punk-industrial-culture-zines-and-the-information-dark-age,"Post-punk, Industrial Culture Zines, and the Information Dark Age",Haworth,2023,"Theory, Culture & Society",normative_with_interpretive_case,,True,,"Close analysis and visual/textual interpretation of zines (Vague magazine, Rapid Eye) and websites (CCRU publications, industrial music handbooks); genealogical tracing from post-punk/industrial culture through to neoreaction and Dark Enlightenment.",True,media_object,primary_object_of_analysis,medium,open_ended_with_burden_on_reader,7,False,puzzle_diagnosis → rival_mapping → genealogical_reconstruction → case_introduction → case_development → case_interpretation → conclusion_open
hoppe-2025-ecodependence-the-intrinsic-connection-between-living-and-killing,Ecodependence: The Intrinsic Connection between Living and Killing,Hoppe,2025,"Theory, Culture & Society",fully_normative,,False,,,False,none,none,medium,strong_normative_conclusion,7,False,puzzle_diagnosis → rival_mapping → immanent_critique → framework_proposal → conceptual_distinction → normative_derivation → conclusion_strong
kapoor-2024-intersectionality-decoloniality-indigenous-localism-a-critique,"Intersectionality, Decoloniality, Indigenous Localism: A Critique",Kapoor,2024,"Theory, Culture & Society",fully_normative,,False,,,False,none,none,high,open_ended_with_burden_on_reader,7,False,puzzle_diagnosis → rival_mapping → immanent_critique → immanent_critique → immanent_critique → normative_derivation → conclusion_open
kinsella-2025-male-subcultures-in-japan-generating-sexual-capital-and-gender-class-mobility-in-a-low-birth-society,Male Subcultures in Japan: Generating Sexual Capital and Gender-Class Mobility in a Low Birth Society,Kinsella,2025,"Theory, Culture & Society",primarily_empirical_qualitative,,True,,"Long-term ethnographic fieldwork in and around Tokyo (2010–2020); participant observation of himote activism (Kakuhidō), otaku events, and cross-dressing subcultures; discourse analysis of Japanese media and subcultural publications; author interviews with subcultural actors.",True,social_practice,primary_object_of_analysis,medium,open_ended_with_burden_on_reader,8,True,puzzle_diagnosis → rival_mapping → framework_proposal → case_introduction → case_development → case_interpretation → meta_reflexive_qualification → conclusion_open
lechte-2025-the-scapegoat-violence-law-and-origin,"The Scapegoat: Violence, Law and Origin",Lechte,2025,"Theory, Culture & Society",fully_normative,,False,,,False,none,none,medium,strong_normative_conclusion,7,False,puzzle_diagnosis → rival_mapping → genealogical_reconstruction → conceptual_distinction → framework_proposal → normative_derivation → conclusion_strong
lee-2023-art-affect-and-social-media-in-the-no-dakota-access-pipeline-movement,"Art, Affect, and Social Media in the 'No Dakota Access Pipeline' Movement",Lee,2023,"Theory, Culture & Society",normative_with_interpretive_case,,True,,Analysis of the #NoDAPL Facebook check-in campaign; close analysis of Cannupa Hanska Luger's Mirror Shields Project as an art-activist intervention; contextualization through the history of the Standing Rock Sioux resistance.,True,artwork,primary_object_of_analysis,medium,open_ended_with_burden_on_reader,7,True,puzzle_diagnosis → rival_mapping → framework_proposal → case_introduction → case_development → case_interpretation → conclusion_open
loizidou-2024-judith-butler-life-philosophy-politics-ethics-e-special-issue-introduction,"Judith Butler: Life, Philosophy, Politics, Ethics: E-Special Issue Introduction",Loizidou,2024,"Theory, Culture & Society",purely_interpretive_hermeneutic,,False,,,True,philosophical_text,primary_object_of_analysis,low,none,4,False,puzzle_diagnosis → case_introduction → genealogical_reconstruction → case_development
lury-day-2019-algorithmic-personalization-as-a-mode-of-individuation,Algorithmic Personalization as a Mode of Individuation,Lury and Day,2019,"Theory, Culture & Society",normative_with_interpretive_case,,True,,"Analysis of specific recommendation algorithm platforms (Last.fm, Pandora, Netflix, Stitch Fix, PatientsLikeMe, Facebook); analysis of collaborative filtering vs. content-based filtering; analysis of the 'like economy'.",True,media_object,illustrative,medium,open_ended_with_burden_on_reader,7,False,puzzle_diagnosis → framework_proposal → case_introduction → case_development → conceptual_distinction → normative_derivation → conclusion_open
mackay-2015-radical-feminism,Radical Feminism,Mackay,2015,"Theory, Culture & Society",primarily_empirical_qualitative,,True,"Survey of over 100 feminist activists (different schools: socialist, Christian anarchist, radical lesbian)",Interviews with feminist activists across generations; participant observation in the British Women's Liberation Movement; comparative analysis of Second Wave vs. contemporary organizing.,True,social_practice,primary_object_of_analysis,medium,open_ended_with_burden_on_reader,4,False,empirical_presentation → puzzle_diagnosis → case_development → conclusion_open
mackenzie-munster_2019,Platform Seeing: Image Ensembles and Their Invisualities,"MacKenzie, Munster",2019,"Theory, Culture & Society",normative_with_interpretive_case,purely_interpretive_hermeneutic,True,,,True,historical_event,parable_for_theory,low,open_ended_with_burden_on_reader,10,False,puzzle_diagnosis → rival_mapping → framework_proposal → case_introduction → case_development → case_interpretation → case_introduction → case_development → case_interpretation → conclusion_open
mignolo_2010,"Epistemic Disobedience, Independent Thought and Decolonial Freedom",Mignolo,2010,"Theory, Culture & Society",normative_with_interpretive_case,,False,,,True,philosophical_text,parable_for_theory,high,strong_normative_conclusion,8,True,puzzle_diagnosis → genealogical_reconstruction → case_introduction → case_development → case_interpretation → conceptual_distinction → normative_derivation → conclusion_strong
moran_2025,Love Makes Robots Human: Loveability and the Politics of Liveliness,Moran,2025,"Theory, Culture & Society",normative_with_interpretive_case,,False,,,True,historical_event,parable_for_theory,high,strong_normative_conclusion,15,False,puzzle_diagnosis → framework_proposal → case_introduction → case_development → case_interpretation → case_introduction → case_development → case_interpretation → case_introduction → case_development → case_interpretation → rival_mapping → immanent_critique → normative_derivation → conclusion_strong
nachtwey-seidl_2023,The Solutionist Ethic and the Spirit of Digital Capitalism,"Nachtwey, Seidl",2023,"Theory, Culture & Society",normative_with_quantitative_empirical,primarily_empirical_qualitative,True,"Supervised machine learning (automated nonparametric content analysis, Hopkins and King 2010) applied to three text corpora: public statements of digital elites (n=2,326 paragraphs), Wired magazine articles (c.1.5 million paragraphs, 1993–2019), Harvard Business Review articles (c.190,000 paragraphs, 1980–2022). Hand-coded training set of 1,518 paragraphs with intercoder reliability assessment.",Illustrative qualitative case analysis of tech elite speeches and statements to interpret findings from the quantitative analysis.,False,none,none,medium,research_agenda,9,True,puzzle_diagnosis → rival_mapping → framework_proposal → conceptual_distinction → method_justification → empirical_presentation → normative_derivation → meta_reflexive_qualification → conclusion_open
osborne-rose_2023,Against Posthumanism: Notes towards an Ethopolitics of Personhood,"Osborne, Rose",2023,"Theory, Culture & Society",fully_normative,,False,,,False,none,illustration,high,open_ended_with_burden_on_reader,8,True,puzzle_diagnosis → rival_mapping → immanent_critique → framework_proposal → conceptual_distinction → counter_objection_response → meta_reflexive_qualification → conclusion_open
schwarz_2025,The Post-Choice Society: Algorithmic Prediction and the Decentring of Choice,Schwarz,2025,"Theory, Culture & Society",normative_with_qualitative_empirical,,True,,"Discourse analysis of platform design decisions, industry statements, and secondary literature on TikTok, Netflix, Spotify, Amazon, Google, and predictive shopping models. Historical analysis of the evolution of social media platforms (four-stage periodization).",True,historical_event,test_case_for_framework,medium,open_ended_with_burden_on_reader,8,False,puzzle_diagnosis → genealogical_reconstruction → case_introduction → case_development → conceptual_distinction → normative_derivation → counter_objection_response → conclusion_open
seeliger-sevignani_2022,A New Structural Transformation of the Public Sphere? An Introduction,"Seeliger, Sevignani",2022,"Theory, Culture & Society",fully_normative,,False,,,False,none,none,high,research_agenda,5,False,genealogical_reconstruction → conceptual_distinction → framework_proposal → puzzle_diagnosis → conclusion_open
serafini_2024,"Art, Extractivism and the Ontological Shift: Toward a (Post)Extractivist Aesthetics",Serafini,2024,"Theory, Culture & Society",normative_with_qualitative_empirical,,True,,"Multi-sited ethnographic fieldwork in Argentina (2017–2019); 60+ semi-structured interviews with artists, activists, and community members; participant observation; analysis of artworks, murals, and collective mapping practices.",True,cultural_practice,generative,high,open_ended_research_agenda,8,True,puzzle_diagnosis → framework_proposal → method_justification → case_introduction → case_development → case_interpretation → normative_derivation → conclusion_open
sevignani_2022,"Digital Transformations and the Ideological Formation of the Public Sphere: Hegemonic, Populist, or Popular Communication?",Sevignani,2022,"Theory, Culture & Society",fully_normative,,False,,,False,none,none,high,open_ended_with_burden_on_reader,6,False,puzzle_diagnosis → framework_proposal → conceptual_distinction → normative_derivation → rival_mapping → conclusion_open
shove_walker_2014,What Is Energy For? Social Practice and Energy Demand,"Shove, Walker",2014,"Theory, Culture & Society",normative_with_qualitative_empirical,,True,,"Policy document analysis (UK Pathways to 2050, IEA Saving Electricity in a Hurry); historical examples (Hughes on electricity networks, Nye on blackouts, automobility complex).",False,none,none,high,research_agenda,6,False,puzzle_diagnosis → rival_mapping → framework_proposal → immanent_critique → normative_derivation → conclusion_open
smith_burrows_2021,"Software, Sovereignty and the Post-Neoliberal Politics of Exit","Smith, Burrows",2021,"Theory, Culture & Society",normative_with_qualitative_empirical,,True,,"Discourse analysis of NRx primary texts (Yarvin/Moldbug blog posts, Land essays, Thiel writings); technical analysis of Urbit's architecture documents, constitution, and address hierarchy; analysis of funding relationships and capital flows; discourse analysis of seasteading movement documents.",True,digital_platform,test_case_for_framework,medium,open_ended_with_burden_on_reader,7,True,puzzle_diagnosis → genealogical_reconstruction → case_introduction → case_development → case_interpretation → normative_derivation → conclusion_open
staab_thiel_2022,Social Media and the Digital Structural Transformation of the Public Sphere,"Staab, Thiel",2022,"Theory, Culture & Society",fully_normative,,False,,,False,none,none,high,open_ended_with_burden_on_reader,6,False,genealogical_reconstruction → immanent_critique → rival_mapping → framework_proposal → normative_derivation → conclusion_open
stypinska_rossi_2025,Pastoral Power: Perspectives on the Present,"Stypinska, Rossi",2025,"Theory, Culture & Society",fully_normative,,False,,,False,none,none,medium,research_agenda,5,False,genealogical_reconstruction → immanent_critique → conceptual_distinction → framework_proposal → conclusion_open
swyngedouw_2010,Apocalypse Forever? Post-political Populism and the Spectre of Climate Change,Swyngedouw,2010,"Theory, Culture & Society",normative_with_qualitative_empirical,,True,,"Discourse analysis of climate change media coverage (headlines from The Independent, 2006), policy documents (Kyoto Protocol, UK Pathways to 2050 equivalent), political speeches (Prince Charles), corporate communications (BP rebranding), and Al Gore's film An Inconvenient Truth. Enumeration of CO2 derivatives market growth (zero to 463 million tons, 2005–2009) as illustration.",True,historical_event,test_case_for_framework,high,open_ended_with_burden_on_reader,7,False,puzzle_diagnosis → framework_proposal → case_introduction → case_development → case_interpretation → normative_derivation → conclusion_strong
ungureanu_2023,"The Mystical Foundation of Democratic Society, Mythmaking and Truth in The Man Who Shot Liberty Valance (John Ford 1962)",Ungureanu,2023,Philosophy and Social Criticism,normative_with_interpretive_case,,False,,"Close cinematic reading of The Man Who Shot Liberty Valance (dir. John Ford, 1962): scene-by-scene analysis of the film's narrative arc, character symbolism (Stoddard, Doniphon, Hallie, Pompey, Scott/Peabody), visual composition (images of Doniphon's coffin with cactus rose), dialogue, and structural devices (flashback frame narrative). Direct engagement with film stills.",True,film,generative,high,conclusion_with_qualification,9,True,puzzle_diagnosis → rival_mapping → immanent_critique → case_introduction → case_development → case_interpretation → counter_objection_response → meta_reflexive_qualification → conclusion_strong
ungureanu_2013,"The 'mystical' foundation of democratic society, mythmaking and truth in The Man Who Shot Liberty Valance (John Ford 1962)",Ungureanu,2013,Philosophy & Social Criticism,normative_with_interpretive_case,purely_interpretive_hermeneutic,False,,,True,film,parable_for_theory,high,open_ended_with_burden_on_reader,9,True,puzzle_diagnosis → rival_mapping → immanent_critique → framework_proposal → case_introduction → case_development → case_interpretation → meta_reflexive_qualification → conclusion_open
yoneyama_2021,Miyazaki Hayao's Animism and the Anthropocene,Yoneyama,2021,"Theory, Culture & Society",normative_with_interpretive_case,,False,,"Close reading of Miyazaki's animated films (Spirited Away, Nausicaä, Princess Mononoke, My Neighbour Totoro, Ponyo), manga volumes, published interviews and collected writings (Miyazaki 1996, 2008a, 2013). Historical contextualisation of Shinto nationalism vs. folk animism in Japan; biographical narrative of Miyazaki's animism emerging from Minamata context.",True,film,generative,high,research_agenda,8,False,puzzle_diagnosis → rival_mapping → immanent_critique → case_introduction → case_development → conceptual_distinction → normative_derivation → conclusion_open
