priority,title,authors,year,journal,doi,citations,relevance_score,score_reason,url_1_label,url_1,url_2_label,url_2,url_3_label,url_3,url_4_label,url_4,url_5_label,url_5,notes
33,Turbulent Worlds,Melinda Cooper,2010,Theory Culture & Society,10.1177/0263276409358727,177,8.0,"Theoretically sophisticated analysis of power, modernity, and speculation through financial and meteorological systems that directly engages with contemporary capitalism and social theory, with strong conceptual contributions on transmutability and atmospheric governance, though the incomplete abstract limits full assessment of scope.",Publisher page,https://doi.org/10.1177/0263276409358727,Unpaywall page,https://unpaywall.org/10.1177/0263276409358727,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276409358727,Google Scholar,https://scholar.google.com/scholar?q=Turbulent+Worlds,ResearchGate,https://www.researchgate.net/search?q=Turbulent+Worlds,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
34,Iconic Architecture and the Culture-ideology of Consumerism,Leslie Sklair,2010,Theory Culture & Society,10.1177/0263276410374634,173,8.0,"Excellent fit with Theory, Culture & Society tradition—theoretically sophisticated analysis of iconic architecture as cultural-ideological phenomenon within critical globalization framework, examining power, consumerism, and the production of public space through social theory; minor gap is abstract incompleteness but content strongly demonstrates substantial conceptual contribution across theory and cultural analysis.",Publisher page,https://doi.org/10.1177/0263276410374634,Unpaywall page,https://unpaywall.org/10.1177/0263276410374634,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276410374634,Google Scholar,https://scholar.google.com/scholar?q=Iconic+Architecture+and+the+Culture-ideology+of+Consumerism,ResearchGate,https://www.researchgate.net/search?q=Iconic+Architecture+and+the+Culture-ideology+of+Consumerism,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
35,Anthropogenesis: Origins and Endings in the Anthropocene,Kathryn Yusoff,2015,"Theory, Culture &amp; Society",10.1177/0263276415581021,168,8.0,"Strong theoretical contribution engaging with modernity, subjectivity, and material history through the lens of the Anthropocene, making substantive conceptual interventions around power, ontology, and human-nature relations that align closely with Theory, Culture & Society traditions, though the abstract's incompleteness prevents full assessment of argumentative development.",Publisher page,https://doi.org/10.1177/0263276415581021,Unpaywall page,https://unpaywall.org/10.1177/0263276415581021,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276415581021,Google Scholar,https://scholar.google.com/scholar?q=Anthropogenesis:+Origins+and+Endings+in+the+Anthropocene,ResearchGate,https://www.researchgate.net/search?q=Anthropogenesis:+Origins+and+Endings+in+the+Anthropocene,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
36,Post-Neoliberalism? An Introduction,William Davies; Nicholas Gane,2021,Theory Culture & Society,10.1177/02632764211036722,165,8.0,"Exemplary fit with the journal's focus on social theory and power, providing theoretically sophisticated analysis of neoliberalism's transformations across political ideologies and crises, though as an introductory framing piece it may lack the depth of a standalone theoretical contribution.",Publisher page,https://doi.org/10.1177/02632764211036722,Unpaywall page,https://unpaywall.org/10.1177/02632764211036722,Open Access Button,https://openaccessbutton.org/?id=10.1177/02632764211036722,Google Scholar,https://scholar.google.com/scholar?q=Post-Neoliberalism?+An+Introduction,ResearchGate,https://www.researchgate.net/search?q=Post-Neoliberalism?+An+Introduction,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
37,Logics of Political Secrecy,Eva Horn,2011,Theory Culture & Society,10.1177/0263276411424583,161,8.0,"This paper makes a substantial theoretical contribution to understanding power, secrecy, and modern governance through genealogical analysis and conceptual distinction (arcanum/secretum), directly aligned with Theory, Culture & Society's focus on modernity, power, and social theory, with only minor gaps in the provided abstract regarding empirical grounding or broader theoretical implications.",Publisher page,https://doi.org/10.1177/0263276411424583,Unpaywall page,https://unpaywall.org/10.1177/0263276411424583,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276411424583,Google Scholar,https://scholar.google.com/scholar?q=Logics+of+Political+Secrecy,ResearchGate,https://www.researchgate.net/search?q=Logics+of+Political+Secrecy,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
38,Israel-Palestine and the Settler Colonial ‘Turn’: From Interpretation to Decolonization,Rachel Busbridge,2017,Theory Culture & Society,10.1177/0263276416688544,159,8.0,"Excellent theoretical contribution engaging settler colonial studies and decolonization frameworks applied to Israel-Palestine; directly aligned with journal's focus on power, identity, and critical theoretical paradigms, with clear conceptual intervention regarding the limits and possibilities of interpretive frameworks.",Publisher page,https://doi.org/10.1177/0263276416688544,Unpaywall page,https://unpaywall.org/10.1177/0263276416688544,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276416688544,Google Scholar,https://scholar.google.com/scholar?q=Israel-Palestine+and+the+Settler+Colonial+‘Turn’:+From+Interpretation+to+Decolonization,ResearchGate,https://www.researchgate.net/search?q=Israel-Palestine+and+the+Settler+Colonial+‘Turn’:+From+Interpretation+to+Decolonization,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
39,"Problematizing Disciplinarity, Transdisciplinary Problematics",Peter Osborne,2015,Theory Culture & Society,10.1177/0263276415592245,159,8.0,"This paper makes a substantial theoretical contribution to understanding disciplinarity and transdisciplinarity within academic knowledge production, directly engaging with the intellectual traditions (German and French theory, philosophical foundations) and conceptual frameworks central to Theory, Culture & Society, with minor limitation that the abstract is incomplete and unclear on specific empirical or case-based dimensions.",Publisher page,https://doi.org/10.1177/0263276415592245,Unpaywall page,https://unpaywall.org/10.1177/0263276415592245,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276415592245,Google Scholar,"https://scholar.google.com/scholar?q=Problematizing+Disciplinarity,+Transdisciplinary+Problematics",ResearchGate,"https://www.researchgate.net/search?q=Problematizing+Disciplinarity,+Transdisciplinary+Problematics",Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
40,What's Observed in a Rating? Rankings as Orientation in the Face of Uncertainty,Elena Esposito; David Stark,2019,Theory Culture & Society,10.1177/0263276419826276,157,8.0,"This paper makes a substantial theoretical contribution to understanding ratings and rankings as social forms addressing second-order observation and uncertainty navigation, directly engaging with power, subjectivity, and social coordination in contemporary modernity—core concerns of social and cultural theory—with only minor limitations in scope relative to the collection's broadest interests.",Publisher page,https://doi.org/10.1177/0263276419826276,Unpaywall page,https://unpaywall.org/10.1177/0263276419826276,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276419826276,Google Scholar,https://scholar.google.com/scholar?q=What's+Observed+in+a+Rating?+Rankings+as+Orientation+in+the+Face+of+Uncertainty,ResearchGate,https://www.researchgate.net/search?q=What's+Observed+in+a+Rating?+Rankings+as+Orientation+in+the+Face+of+Uncertainty,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
41,The Governmental Topologies of Database Devices,Evelyn Ruppert,2012,Theory Culture & Society,10.1177/0263276412439428,157,8.0,"This paper makes a substantial theoretical contribution to understanding power, governmentality, and digital subjectivity through analysis of database technologies as governmental apparatus, firmly aligned with social theory and cultural analysis traditions, though the abstract's incompleteness and focus on a specific UK policy context prevent it from being a perfect fit.",Publisher page,https://doi.org/10.1177/0263276412439428,Unpaywall page,https://unpaywall.org/10.1177/0263276412439428,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276412439428,Google Scholar,https://scholar.google.com/scholar?q=The+Governmental+Topologies+of+Database+Devices,ResearchGate,https://www.researchgate.net/search?q=The+Governmental+Topologies+of+Database+Devices,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
42,The Politics of Real-time: A Device Perspective on Social Media Platforms and Search Engines,Esther Weltevrede; Anne Helmond; Carolin Gerlitz,2014,Theory Culture & Society,10.1177/0263276414537318,147,8.0,"Excellent fit combining theoretical sophistication (device theory, platform temporalities, socio-technical arrangements) with empirical grounding in cultural analysis of digital media, though the focus on technical/temporal specificity is somewhat narrower than the journal's broader engagement with power, identity, and subjectivity.",Publisher page,https://doi.org/10.1177/0263276414537318,Unpaywall page,https://unpaywall.org/10.1177/0263276414537318,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276414537318,Google Scholar,https://scholar.google.com/scholar?q=The+Politics+of+Real-time:+A+Device+Perspective+on+Social+Media+Platforms+and+Search+Engines,ResearchGate,https://www.researchgate.net/search?q=The+Politics+of+Real-time:+A+Device+Perspective+on+Social+Media+Platforms+and+Search+Engines,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
43,Probiotic Environmentalities: Rewilding with Wolves and Worms,Jamie Lorimer,2017,Theory Culture & Society,10.1177/0263276417695866,146,8.0,"Excellent theoretical engagement with power, subjectivity, and environmental governance through the concept of biopower and ontology; empirically grounded in contemporary practices (rewilding, microbiome intervention); highly relevant to Theory, Culture & Society tradition despite incomplete abstract.",Publisher page,https://doi.org/10.1177/0263276417695866,Unpaywall page,https://unpaywall.org/10.1177/0263276417695866,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276417695866,Google Scholar,https://scholar.google.com/scholar?q=Probiotic+Environmentalities:+Rewilding+with+Wolves+and+Worms,ResearchGate,https://www.researchgate.net/search?q=Probiotic+Environmentalities:+Rewilding+with+Wolves+and+Worms,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
44,Earthly Powers and Affective Environments: An Ontological Politics of Flood Risk,Sarah Whatmore,2013,Theory Culture & Society,10.1177/0263276413480949,145,8.0,"This paper makes a substantial theoretical contribution to ontological politics and more-than-human theory while engaging with power, subjectivity, and social/environmental knowledge practices through grounded analysis of flood risk, fitting well within the Theory, Culture & Society tradition despite being cut off mid-citation.",Publisher page,https://doi.org/10.1177/0263276413480949,Unpaywall page,https://unpaywall.org/10.1177/0263276413480949,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276413480949,Google Scholar,https://scholar.google.com/scholar?q=Earthly+Powers+and+Affective+Environments:+An+Ontological+Politics+of+Flood+Risk,ResearchGate,https://www.researchgate.net/search?q=Earthly+Powers+and+Affective+Environments:+An+Ontological+Politics+of+Flood+Risk,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
45,Algorithmic Personalization as a Mode of Individuation,Celia Lury; Sophie Day,2019,Theory Culture & Society,10.1177/0263276418818888,144,8.0,"Theoretically sophisticated engagement with algorithmic culture, individuation, and contemporary subjectivity that directly addresses power, identity, and modernity through rigorous social theory, with minor limitation being the incomplete abstract that obscures full methodological scope.",Publisher page,https://doi.org/10.1177/0263276418818888,Unpaywall page,https://unpaywall.org/10.1177/0263276418818888,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276418818888,Google Scholar,https://scholar.google.com/scholar?q=Algorithmic+Personalization+as+a+Mode+of+Individuation,ResearchGate,https://www.researchgate.net/search?q=Algorithmic+Personalization+as+a+Mode+of+Individuation,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
46,Toward a New Theory of Waste: From ‘Matter out of Place’ to Signs of Life,Joshua O. Reno,2014,Theory Culture & Society,10.1177/0263276413500999,142,8.0,"Strong theoretical contribution to cultural and social theory through reconceptualizing waste beyond constructivist frameworks, engaging with bio-semiotics and cross-species scholarship to challenge anthropocentric approaches to materiality, power, and meaning-making—directly aligned with Theory, Culture & Society's theoretical priorities with only minor gaps in scope.",Publisher page,https://doi.org/10.1177/0263276413500999,Unpaywall page,https://unpaywall.org/10.1177/0263276413500999,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276413500999,Google Scholar,https://scholar.google.com/scholar?q=Toward+a+New+Theory+of+Waste:+From+‘Matter+out+of+Place’+to+Signs+of+Life,ResearchGate,https://www.researchgate.net/search?q=Toward+a+New+Theory+of+Waste:+From+‘Matter+out+of+Place’+to+Signs+of+Life,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
47,The Remainders of Race,Ash Amin,2010,Theory Culture & Society,10.1177/0263276409350361,133,9.0,"Theoretically sophisticated engagement with race, biopolitics, and power that directly aligns with Theory, Culture & Society's concerns with social theory, identity, and governance, with strong conceptual contributions on vernacular and state-regulated racism and their conjunctural interplay.",Publisher page,https://doi.org/10.1177/0263276409350361,Unpaywall page,https://unpaywall.org/10.1177/0263276409350361,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276409350361,Google Scholar,https://scholar.google.com/scholar?q=The+Remainders+of+Race,ResearchGate,https://www.researchgate.net/search?q=The+Remainders+of+Race,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
48,Comparative Global Humanities After Man: Alternatives to the Coloniality of Knowledge,Lisa Lowe; Kris Manjapra,2019,Theory Culture & Society,10.1177/0263276419854795,107,9.0,"Excellent fit addressing coloniality, decentering Western modernity, and proposing alternative epistemologies across multiple humanities disciplines with explicit theoretical and conceptual innovation around identity, knowledge production, and power structures central to social theory.",Publisher page,https://doi.org/10.1177/0263276419854795,Unpaywall page,https://unpaywall.org/10.1177/0263276419854795,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276419854795,Google Scholar,https://scholar.google.com/scholar?q=Comparative+Global+Humanities+After+Man:+Alternatives+to+the+Coloniality+of+Knowledge,ResearchGate,https://www.researchgate.net/search?q=Comparative+Global+Humanities+After+Man:+Alternatives+to+the+Coloniality+of+Knowledge,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
49,Foucault’s Genealogy of Racism,Kim Su Rasmussen,2011,Theory Culture & Society,10.1177/0263276411410448,103,9.0,"Excellent theoretical contribution analyzing Foucault's genealogical method applied to racism as biopolitical governance, directly aligned with the journal's focus on power, social theory, and the genealogy of modern subjectivity, with only minor concerns about the abstract's incompleteness preventing a perfect score.",Publisher page,https://doi.org/10.1177/0263276411410448,Unpaywall page,https://unpaywall.org/10.1177/0263276411410448,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276411410448,Google Scholar,https://scholar.google.com/scholar?q=Foucault’s+Genealogy+of+Racism,ResearchGate,https://www.researchgate.net/search?q=Foucault’s+Genealogy+of+Racism,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
50,Geosocial Strata,Kathryn Yusoff,2017,Theory Culture & Society,10.1177/0263276416688543,99,9.0,"Exemplary theoretical contribution engaging Deleuze/Guattari and Foucault to analyse power, social stratification, and subjectivity through the lens of the Anthropocene, with sophisticated conceptual work connecting geologic and social forces that is precisely aligned with Theory, Culture & Society's tradition.",Publisher page,https://doi.org/10.1177/0263276416688543,Unpaywall page,https://unpaywall.org/10.1177/0263276416688543,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276416688543,Google Scholar,https://scholar.google.com/scholar?q=Geosocial+Strata,ResearchGate,https://www.researchgate.net/search?q=Geosocial+Strata,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
