title,authors,year,doi,arxiv_id,journal,citations,relevance_score,score_reason,abstract,pdf_url
Foucault’s Genealogy of Racism,Kim Su Rasmussen,2011,10.1177/0263276411410448,,Theory Culture & Society,103,9.0,"Excellent theoretical contribution analyzing Foucault's genealogical method applied to racism as biopolitical governance, directly aligned with the journal's focus on power, social theory, and the genealogy of modern subjectivity, with only minor concerns about the abstract's incompleteness preventing a perfect score.","This paper argues that Foucault’s genealogy of racism deserves appreciation due to the highly original concept of racism as biopolitical government. Modern racism, according to Foucault, is not merely an irrational prejudice, a form of socio-political discrimination, or an ideological motive in a political doctrine; rather, it is a form of government that is designed to manage a population. The paper seeks to advance this argument by reconstructing Foucault’s unfinished project of a genealogy of",
Geosocial Strata,Kathryn Yusoff,2017,10.1177/0263276416688543,,Theory Culture & Society,99,9.0,"Exemplary theoretical contribution engaging Deleuze/Guattari and Foucault to analyse power, social stratification, and subjectivity through the lens of the Anthropocene, with sophisticated conceptual work connecting geologic and social forces that is precisely aligned with Theory, Culture & Society's tradition.","The Anthropocene marks a moment of wild destratification of the planet that requires analysis of the relations between geologic forces and social practices. Deleuze and Guattari’s concept of strata is examined in order to develop a geophilosophy for the Anthropocene. Establishing a model of strata that conjoins earth and social flows together into planes of interrelated production highlights how the fossil substratum subtends contemporary forms of social relations. Stratifications, it is argued,",
Apocalypse Forever?,Erik Swyngedouw,2010,10.1177/0263276409358728,,"Theory, Culture &amp; Society",919,8.0,"This paper makes a substantial theoretical contribution to understanding the paradox of climate change politicization within post-political conditions, directly engaging with social theory, power, and governance in ways central to Theory, Culture & Society's intellectual tradition, with only minor limitations in the incomplete abstract.","<jats:p> This article interrogates the relationship between two apparently disjointed themes: the consensual presentation and mainstreaming of the global problem of climate change on the one hand and the debate in political theory/philosophy that centers around the emergence and consolidation of a post-political and post-democratic condition on the other. The argument advanced in this article attempts to tease out this apparently paradoxical condition. On the one hand, the climate is seemingly p",https://journals.sagepub.com/doi/pdf/10.1177/0263276409358728
A Theoretical Framework for the Critical Posthumanities,Rosi Braidotti,2018,10.1177/0263276418771486,,"Theory, Culture &amp; Society",685,8.0,"Theoretically rich engagement with posthumanism, ontology, and subjectivity that directly aligns with Theory, Culture & Society traditions, though the abstract's incompleteness and absence of empirical grounding prevent a perfect score.","<jats:p>What are the parameters that define a posthuman knowing subject, her scientific credibility and ethical accountability? Taking the posthumanities as an emergent field of enquiry based on the convergence of posthumanism and post-anthropocentrism, I argue that posthuman knowledge claims go beyond the critiques of the universalist image of ‘Man’ and of human exceptionalism. The conceptual foundation I envisage for the critical posthumanities is a neo-Spinozist monistic ontology that assumes",https://journals.sagepub.com/doi/pdf/10.1177/0263276418771486
A New Climate for Society,Sheila Jasanoff,2010,10.1177/0263276409361497,,"Theory, Culture &amp; Society",647,8.0,"Strong theoretical contribution examining climate change through social and cultural theory, analyzing how scientific knowledge disrupts meaning-making and social institutions across multiple registers (communal, political, spatial, temporal), with direct relevance to modernity, power, and subjectivity themes central to Theory, Culture & Society tradition.","<jats:p> This article argues that climate change produces discordances in established ways of understanding the human place in nature, and so offers unique challenges and opportunities for the interpretive social sciences. Scientific assessments such as those of the Intergovernmental Panel on Climate Change helped establish climate change as a global phenomenon, but in the process they detached knowledge from meaning. Climate facts arise from impersonal observation whereas meanings emerge from e",https://journals.sagepub.com/doi/pdf/10.1177/0263276409361497
What Is Energy For? Social Practice and Energy Demand,Elizabeth Shove; Gordon Walker,2014,10.1177/0263276414536746,,"Theory, Culture &amp; Society",572,8.0,"Strong theoretical contribution on energy, modernity, and social practice grounded in social theory; directly addresses how theoretical frameworks shape understanding of socio-technical systems; minor gap is that abstract is incomplete but clearly positions energy as central to cultural and social reproduction.","<jats:p> Energy has an ambivalent status in social theory, variously figuring as a driver or an outcome of social and institutional change, or as something that is woven into the fabric of society itself. In this article the authors consider the underlying models on which different approaches depend. One common strategy is to view energy as a resource base, the management and organization of which depends on various intersecting systems: political, economic and technological. This is not the onl",https://journals.sagepub.com/doi/pdf/10.1177/0263276414536746
A New Algorithmic Identity,John Cheney-Lippold,2011,10.1177/0263276411424420,,"Theory, Culture &amp; Society",501,8.0,"Strong theoretical contribution applying Foucauldian concepts (biopower, biopolitics) to digital surveillance and algorithmic identity construction, with clear engagement with social theory and power relations, though the abstract is incomplete and empirical grounding is unclear.","<jats:p> Marketing and web analytic companies have implemented sophisticated algorithms to observe, analyze, and identify users through large surveillance networks online. These computer algorithms have the capacity to infer categories of identity upon users based largely on their web-surfing habits. In this article I will first discuss the conceptual and theoretical work around code, outlining its use in an analysis of online categorization practices. The article will then approach the function",https://journals.sagepub.com/doi/pdf/10.1177/0263276411424420
Lively Infrastructure,Ash Amin,2014,10.1177/0263276414548490,,"Theory, Culture &amp; Society",474,8.0,"Strong fit combining critical social theory with empirical grounding on infrastructure, power, rights, and urban subjectivity; directly aligned with Theory, Culture & Society concerns about modernity, identity, and social struggle, with only minor limitations in scope relative to the journal's broadest theoretical ambitions.","<jats:p> This paper examines the social life and sociality of urban infrastructure. Drawing on a case study of land occupations and informal settlements in the city of Belo Horizonte in Brazil, where the staples of life such as water, electricity, shelter and sanitation are co-constructed by the poor, the paper argues that infrastructures – visible and invisible – are deeply implicated in not only the making and unmaking of individual lives, but also in the experience of community, solidarity an",https://journals.sagepub.com/doi/pdf/10.1177/0263276414548490
From a View to a Kill,Derek Gregory,2011,10.1177/0263276411423027,,"Theory, Culture &amp; Society",402,8.0,"Theoretically sophisticated analysis of drone warfare engaging with concepts of modernity, power, violence, and subjectivity that directly aligns with Theory, Culture & Society tradition, though the abstract's incompleteness makes full assessment difficult.","<jats:p> The proponents of late modern war like to argue that it has become surgical, sensitive and scrupulous, and remotely operated Unmanned Aerial Vehicles or ‘drones’ have become diagnostic instruments in contemporary debates over the conjunction of virtual and ‘virtuous’ war. Advocates for the use of Predators and Reapers in counterinsurgency and counterterrorism campaigns have emphasized their crucial role in providing intelligence, reconnaissance and surveillance, in strengthening the leg",https://journals.sagepub.com/doi/pdf/10.1177/0263276411423027
The Psychic Life of Neoliberalism: Mapping the Contours of Entrepreneurial Subjectivity,Christina Scharff,2016,10.1177/0263276415590164,,"Theory, Culture &amp; Society",400,8.0,"Excellent fit combining substantial theoretical contribution on neoliberalism and subjectivity with rigorous empirical grounding in 60+ interviews, directly addressing core Theory, Culture & Society concerns around power, subjectivity, and modernity, with only minor limitation in the truncated abstract preventing full assessment of conceptual depth.","<jats:p> This article adds to contemporary analyses of neoliberalism by shedding light on its psychic life. Writers in the Foucauldian tradition have explored how subjectivities are reconstituted under neoliberalism, showing that the neoliberal self is an entrepreneurial subject. Yet, there has been little empirical research that explores entrepreneurial subjectivity and, more specifically, its psychic life. By drawing on over 60 in-depth interviews with individuals who may be entrepreneurial su",https://journals.sagepub.com/doi/pdf/10.1177/0263276415590164
Data Derivatives,Louise Amoore,2011,10.1177/0263276411417430,,"Theory, Culture &amp; Society",298,8.0,"Theoretically rich engagement with algorithmic governance, data politics, and security infrastructure that directly addresses power, subjectivity, and modernity through a novel conceptual framework (data derivatives), with grounded empirical analysis of border control systems—strong fit for Theory, Culture & Society tradition despite limited abstract detail.","<jats:p> In a quiet London office, a software designer muses on the algorithms that will make possible the risk flags to be visualized on the screens of border guards from Heathrow to St Pancras International. There is, he says, ‘real time decision making’ – to detain, to deport, to secondarily question or search – but there is also the ‘offline team who run the analytics and work out the best set of rules’. Writing the code that will decide the association rules between items of data, prosaic a",https://journals.sagepub.com/doi/pdf/10.1177/0263276411417430
The Human Sciences in a Biological Age,Nikolas Rose,2013,10.1177/0263276412456569,,"Theory, Culture &amp; Society",269,8.0,"Excellent fit addressing how biological sciences reshape understandings of human subjectivity, identity, and the social—core Theory, Culture & Society concerns—with theoretical sophistication about the implications for human and social sciences, though the abstract doesn't fully detail the conceptual framework or empirical grounding.","<jats:p> We live, according to some, in the century of biology, where we now understand ourselves in radically new ways as the insights of genomics and neuroscience have opened up the workings of our bodies and our minds to new kinds of knowledge and intervention. Is a new figure of the human, and of the social, taking shape in the 21st century? With what consequences for the politics of life today? And with what implications, if any, for the social, cultural and human sciences? These are the is",https://journals.sagepub.com/doi/pdf/10.1177/0263276412456569
Between Inclusion and Exclusion: On the Topology of Global Space and Borders,Sandro Mezzadra; Brett Neilson,2012,10.1177/0263276412443569,,"Theory, Culture &amp; Society",212,8.0,"Excellent theoretical contribution engaging with topology, globalization, borders, and power dynamics central to social theory tradition, with sophisticated conceptual analysis of inclusion/exclusion and methodological reflexivity, though the abstract's incompleteness prevents assessment of full argumentative scope.","<jats:p> The research hypothesis that we call border as method offers a fertile ground upon which to test the potentiality and the limits of the topological approach. In this article we present our hypothesis and address three questions relevant for topology. First, we ask how the topological approach can be applied within the heterogeneous space of globalization, which we argue does not obey the dialectic of inclusion and exclusion. Second, we address the claim of neutrality that is often linke",https://journals.sagepub.com/doi/pdf/10.1177/0263276412443569
Introduction to ‘Secrecy and Transparency’,Clare Birchall,2011,10.1177/0263276411427744,,"Theory, Culture &amp; Society",199,8.0,"Strong theoretical contribution to power, politics, and cultural discourse through conceptual analysis of transparency/secrecy as fundamental to modernity and governance, with sophisticated engagement with aporia and binaries typical of Theory, Culture & Society scholarship, though as an introduction it may lack empirical grounding.","<jats:p> This article opens a special section on the politics of opacity and openness. The rise of transparency as a political and cultural ideal has left secrecy to accumulate negative connotations. But the moral discourse that condemns secrecy and rewards transparency may cause us to misread the symbiotic relationship between these terms. After providing a historical account of transparency in public and political life, this article therefore makes the case for working with the tension between",https://journals.sagepub.com/doi/pdf/10.1177/0263276411427744
New Materialisms: Foucault and the ‘Government of Things’,Thomas Lemke,2014,10.1177/0263276413519340,,"Theory, Culture &amp; Society",198,8.0,"Excellent theoretical contribution engaging Foucault, new materialism, and governmentality with substantial conceptual implications for power, ontology, and biopolitics—core Theory, Culture & Society themes—with only minor limitations in apparent empirical grounding.","<jats:p>The article explores the perspectives of Foucault’s notion of government by linking it to the debate on the ‘new materialism’. Discussing Karen Barad’s critical reading of Foucault’s work on the body and power, it points to the idea of a ‘government of things’, which Foucault only briefly outlines in his lectures on governmentality. By stressing the ‘intrication of men and things’ (Foucault), this theoretical project makes it possible to arrive at a relational account of agency and ontol",https://journals.sagepub.com/doi/pdf/10.1177/0263276413519340
"Black Placemaking: Celebration, Play, and Poetry",Marcus Anthony Hunter; Mary Pattillo; Zandria F. Robinson; Keeanga-Yamahtta Taylor,2016,10.1177/0263276416635259,,"Theory, Culture &amp; Society",187,8.0,"Strong theoretical contribution to cultural analysis and identity through the concept of black placemaking, grounded in social theory of space, resistance, and subjectivity, with empirical Chicago case study that privileges creative and experiential dimensions often marginalized in urban sociology.","<jats:p> Using Chicago as our case, this article puts forth a notion of black placemaking that privileges the creative, celebratory, playful, pleasurable, and poetic experiences of being black and being around other black people in the city. Black placemaking refers to the ways that urban black Americans create sites of endurance, belonging, and resistance through social interaction. Our framework offers a corrective to existing accounts that depict urban blacks as bounded, plagued by violence, ",https://journals.sagepub.com/doi/pdf/10.1177/0263276416635259
Anthropogenesis: Origins and Endings in the Anthropocene,Kathryn Yusoff,2015,10.1177/0263276415581021,,"Theory, Culture &amp; Society",168,8.0,"Strong theoretical contribution engaging with modernity, subjectivity, and material history through the lens of the Anthropocene, making substantive conceptual interventions around power, ontology, and human-nature relations that align closely with Theory, Culture & Society traditions, though the abstract's incompleteness prevents full assessment of argumentative development.","<jats:p> If the Anthropocene represents a new epoch of thought, it also represents a new form of materiality and historicity for the human as strata and stratigrapher of the geologic record. This collision of human and inhuman histories in the strata is a new formation of subjectivity within a geologic horizon that redefines temporal, material, and spatial orders of the human (and thus nature). I argue that the Anthropocene contains within it a form of Anthropogenesis – a new origin story and on",https://journals.sagepub.com/doi/pdf/10.1177/0263276415581021
Responding Bodies and Partial Affinities in Human–Animal Worlds,Vinciane Despret,2013,10.1177/0263276413496852,,Theory Culture & Society,267,8.0,"Strong theoretical contribution exploring embodiment, subjectivity, and human-animal relations through the lens of science studies and phenomenology, with empirical grounding in fieldwork practices that directly engages with core Theory, Culture & Society themes of corporeality, ontology, and intersubjectivity.","The aim of this paper is to explore the different manners in which scientists’ bodies are actively engaged when interacting with the animals they observe in the field. Bodies are multiple, as are the practices that involve them: sharing the same diet, feeling similar affects, acting the same, inhabiting the same world of perceptions, constructing empathic affinities, etc. Some scientists aim to embody the animals’ experiences. Some are willing to empathetically experience situations ‘from inside",https://orbi.uliege.be/handle/2268/160596
Being Alongside: Rethinking Relations amongst Different Kinds,Joanna Latimer,2013,10.1177/0263276413500078,,Theory Culture & Society,230,8.0,"Theoretically sophisticated engagement with posthumanism, ontology, and relational theory that directly addresses power, subjectivity, and identity through the human/animal division—core concerns of critical social theory—though the abstract's incompleteness and empirical grounding remain unclear.","This paper broadens out existing challenges to the divisions between the human and the animal that keep humans distinct, and apart, from other animals. Much attention to date has focused on how the Euro-American individuation of the human subject intensifies the asymmetries inculcated by these divisions. This paper rehearses some of this literature but goes on to attend to how these divisions undercut understandings of sociality and limit social organization to interaction between persons. Drawi",
Consuming the Planet to Excess,John Urry,2010,10.1177/0263276409355999,,Theory Culture & Society,219,8.0,"Excellent theoretical fit addressing capitalism, modernity, consumption, power, and environmental crisis through social theory frameworks (discipline/control, conspicuous consumption); makes substantial conceptual contributions to understanding contemporary conditions, though the abstract's incompleteness prevents a perfect score.","This article examines some major changes relating to the contemporary conditions of life upon Earth. It deals especially with emergent contradictions that stem from shifts within capitalism in the rich North over the course of the last century or so. These shifts involve moving from low-carbon to high-carbon economies/societies, from societies of discipline to societies of control, and more recently from specialized and differentiated zones of consumption to mobile, de-differentiated consumption",
Cosmopolitan Climates,Mike Hulme,2010,10.1177/0263276409358730,,Theory Culture & Society,210,8.0,"Strong theoretical contribution engaging Beck's cosmopolitanism to analyse climate change through dissolution of modern dualisms (nature-culture, present-future, global-local), with sophisticated social theory grounding and clear relevance to modernity, power, and subjectivity themes central to the journal's tradition.","This essay argues for the fruitfulness of Beck’s idea of cosmopolitanism for understanding the changing political, sociological and psychological attributes of climate change. This argument is illustrated through brief examinations of how climate change is contributing to the dissolution of three modern dualisms: nature-culture (ontology), present-future (epistemology) and global-local (geography). Not only does the cosmopolitan perspective help to understand the ways in which science and societ",
Cosmopolitanized Nations: Re-imagining Collectivity in World Risk Society,Ulrich Beck; Daniel Lévy,2013,10.1177/0263276412457223,,Theory Culture & Society,208,8.0,"Strong theoretical contribution engaging with cosmopolitanism, nationalism, risk society, and collective identity formation—core concerns of Theory, Culture & Society—though the abstract's incompleteness prevents full assessment of empirical grounding and methodological approach.","The concept of the national is often perceived, both in public and academic discourse as the central obstacle for the realization of cosmopolitan orientations. Consequently, debates about the nation tend to revolve around its persistence or its demise. We depart from this either-or perspective by investigating the formation of the ‘cosmopolitan nation’ as a facet of world risk society. Modern collectivities are increasingly preoccupied with debating, preventing and managing risks. However, unlik",
Beyond Personal Feelings and Collective Emotions: Toward a Theory of Social Affect,Robert Seyfert,2012,10.1177/0263276412438591,,Theory Culture & Society,204,8.0,"Strong theoretical contribution to affect studies with explicit engagement with social theory and conceptual innovation (Spinozist framework for understanding social affect), directly aligned with the journal's focus on subjectivity, power, and cultural analysis, though the abstract's truncation prevents full assessment of empirical grounding or scope.","In the Sociology of Emotion and Affect Studies, affects are usually regarded as an aspect of human beings alone, or of impersonal or collective atmospheres. However, feelings and emotions are only specific cases of affectivity that require subjective inner selves, while the concept of ‘atmospheres’ fails to explain the singularity of each individual case. This article develops a theory of social affect that does not reduce affect to either personal feelings or collective emotions. First, I use a",
"Popular Culture, Digital Archives and the New Social Life of Data",David Beer; Roger Burrows,2013,10.1177/0263276413476542,,Theory Culture & Society,204,8.0,"Strong theoretical contribution examining digital data's implications for sociology, power structures, and the sociological imagination within cultural spheres, with excellent alignment to Theory, Culture & Society traditions of interrogating modernity, though the abstract's incompleteness prevents a perfect score.","Digital data inundation has far-reaching implications for: disciplinary jurisdiction; the relationship between the academy, commerce and the state; and the very nature of the sociological imagination. Hitherto much of the discussion about these matters has tended to focus on ‘transactional’ data held within large and complex commercial and government databases. This emphasis has been quite understandable – such transactional data does indeed form a crucial part of the informational infrastructur",
Social Theory and Climate Change,Elizabeth Shove,2010,10.1177/0263276410361498,,Theory Culture & Society,202,8.0,"This is a meta-theoretical contribution examining how social theory engages with climate change across multiple conceptual framings (capitalism, nature-culture relations, problem definition, societal transformation), making it a strong fit for the journal's focus on social theory and modernity while addressing a crucial contemporary concern.","Social theorists have been dealing with issues of environment and climate change for quite some years, but on which topics have they focused and with whom have they been talking? Many of the articles included in this special issue exemplify a tendency to frame problems of climate change in terms of existing concerns, including the character of capitalism, the relation between nature and culture, or the social process of problem definition. Other forms of conceptual development are much more obvi",https://journals.sagepub.com/doi/pdf/10.1177/0263276410361498
"Naturecultures? Science, Affect and the Non-human",Joanna Latimer; Mara Miele,2013,10.1177/0263276413502088,,Theory Culture & Society,199,8.0,"Excellent theoretical contribution engaging with human/non-human relations, affect theory, and nature-culture binaries—core concerns in contemporary social and cultural theory—though the abstract's incompleteness prevents a perfect score.","Rather than focus on effects, the isolatable and measureable outcomes of events and interventions, the papers assembled here offer different perspectives on the affective dimension of the meaning and politics of human/non-human relations. The authors begin by drawing attention to the constructed discontinuity between humans and non-humans, and to the kinds of knowledge and socialities that this discontinuity sustains, including those underpinned by nature-culture, subject-object, body-mind, indi",
Interrupting the Anthropo-obScene: Immuno-biopolitics and Depoliticizing Ontologies in the Anthropocene,E Swyngedouw; Henrik Ernstson,2018,10.1177/0263276418757314,,Theory Culture & Society,199,8.0,"Theoretically sophisticated engagement with biopolitics, ontology, and the politics of the Anthropocene that directly aligns with Theory, Culture & Society's concerns around power, subjectivity, and modernity, though the abstract's incompleteness and specialized terminology present minor accessibility concerns.","This paper argues that ‘the Anthropocene’ is a deeply depoliticizing notion. This de-politicization unfolds through the creation of a set of narratives, what we refer to as ‘AnthropoScenes’, which broadly share the effect of off-staging certain voices and forms of acting. Our notion of the Anthropo-obScene is our tactic to both attest to and undermine the depoliticizing stories of ‘the Anthropocene’. We first examine how various AnthropoScenes, while internally fractured and heterogeneous, rangi",https://research.manchester.ac.uk/en/publications/bc56a147-40ab-4c65-b1b7-0818b06ba4ee
Turbulent Worlds,Melinda Cooper,2010,10.1177/0263276409358727,,Theory Culture & Society,177,8.0,"Theoretically sophisticated analysis of power, modernity, and speculation through financial and meteorological systems that directly engages with contemporary capitalism and social theory, with strong conceptual contributions on transmutability and atmospheric governance, though the incomplete abstract limits full assessment of scope.","Focusing on the speculative methodologies used to generate models of the financial and meteorological future, this article develops a series of theses on the ‘evental’ and ‘atmospheric’ quality of contemporary power. What is at stake in the circulation of capital today, I argue, is not so much the exchange of equivalents as the universal transmutability of fluctutation. Whether we are dealing with the turbulence of world financial markets or that of complex earth systems, the non-dialectical rel",
Iconic Architecture and the Culture-ideology of Consumerism,Leslie Sklair,2010,10.1177/0263276410374634,,Theory Culture & Society,173,8.0,"Excellent fit with Theory, Culture & Society tradition—theoretically sophisticated analysis of iconic architecture as cultural-ideological phenomenon within critical globalization framework, examining power, consumerism, and the production of public space through social theory; minor gap is abstract incompleteness but content strongly demonstrates substantial conceptual contribution across theory and cultural analysis.","This article explores the theoretical and substantive connections between iconicity and consumerism in the field of contemporary iconic architecture within the framework of a critical theory of globalization. Iconicity in architecture is defined in terms of fame and special symbolic/aesthetic significance as applied to buildings, spaces and in some cases architects themselves. Iconic architecture is conceptualized as a hegemonic project of the transnational capitalist class. In the global era, I",
Post-Neoliberalism? An Introduction,William Davies; Nicholas Gane,2021,10.1177/02632764211036722,,Theory Culture & Society,165,8.0,"Exemplary fit with the journal's focus on social theory and power, providing theoretically sophisticated analysis of neoliberalism's transformations across political ideologies and crises, though as an introductory framing piece it may lack the depth of a standalone theoretical contribution.","This article provides an introduction to the special issue on post-neoliberalism. It does so by considering challenges to the neoliberal order that have come, post-financial crisis, from the political right. It looks closely at the relation of neoliberalism to conservatism, on one hand, and libertarianism, on the other, in order to address the threat posed to the neoliberal order by paleoconservatism, neoreactionary politics, ordonationalism, libertarian paternalism, and different forms of sover",https://journals.sagepub.com/doi/pdf/10.1177/02632764211036722
Logics of Political Secrecy,Eva Horn,2011,10.1177/0263276411424583,,Theory Culture & Society,161,8.0,"This paper makes a substantial theoretical contribution to understanding power, secrecy, and modern governance through genealogical analysis and conceptual distinction (arcanum/secretum), directly aligned with Theory, Culture & Society's focus on modernity, power, and social theory, with only minor gaps in the provided abstract regarding empirical grounding or broader theoretical implications.","In the modern age, the political secret has acquired a bad reputation. With modern democracy’s ideal of transparency, political secrecy is identified with political crime or corruption. The article argues that this repression of secrecy in modern democracies falls short of a substantial understanding of the structure and workings of political secrecy. By outlining a genealogy of political secrecy, it elucidates the logic as well as the blind spots of a current culture of secrecy. It focuses on t",
